,title,author,publisher,isbn13,pubDate,categoryId,categoryName,description,cover,text,Keyword,genres,mood,interest
177,디즈니 기묘한 소원 1 : 새로운 친구들,베라 스트레인지,라곰,9791189686406,2022-05-03,48877,어린이,"EBS 「당신의 문해력」 출연 교사가 추천하고, 사립초 아이들이 함께 읽는 책. 디즈니 오리지널 노블 『디즈니 기묘한 소원』 시리즈는 미국 「스쿨 라이브러리 저널」이 추천하고 미국, 영국, 호주, 프랑스 등에서 출간되는 등 전 세계 아이들의 사랑을 받는 소설이다.",https://image.aladin.co.kr/product/29318/38/coversum/k642837711_1.jpg,     당신의 문해력  출연 교사가 추천하고  사립초 아이들이 함께 읽는 책  디즈니 오리지널 노블  디즈니 기묘한 소원  시리즈는 미국  스쿨 라이브러리 저널 이 추천하고 미국  영국  호주  프랑스 등에서 출간되는 등 전 세계 아이들의 사랑을 받는 소설이다 ,"['교사' '노블' '디즈니' '라이브러리' '문해력' '미국' '사랑' '사립' '세계' '소설' '소원' '스쿨' '시리즈'
 '아이' '영국' '오리지널' '저널' '추천' '출간' '출연' '프랑스' '호주']","['철학', '동화', '역사']","['슬픔', '우울', '도전', '용기', '고민', '불안']","['관계', '사진', '사회', '사랑', '심리', '가족', '동물', '인생', '영화', '자연', '생각']"
178,디즈니 기묘한 소원 2 : 최고의 아이,베라 스트레인지,라곰,9791189686413,2022-05-03,48877,어린이,"EBS 「당신의 문해력」 출연 교사가 추천하고, 사립초 아이들이 함께 읽는 책. 디즈니 오리지널 노블 『디즈니 기묘한 소원』 시리즈는 미국 「스쿨 라이브러리 저널」이 추천하고 미국, 영국, 호주, 프랑스 등에서 출간되는 등 전 세계 아이들의 사랑을 받는 소설이다.",https://image.aladin.co.kr/product/29318/44/coversum/k842837711_1.jpg,     당신의 문해력  출연 교사가 추천하고  사립초 아이들이 함께 읽는 책  디즈니 오리지널 노블  디즈니 기묘한 소원  시리즈는 미국  스쿨 라이브러리 저널 이 추천하고 미국  영국  호주  프랑스 등에서 출간되는 등 전 세계 아이들의 사랑을 받는 소설이다 ,"['교사' '노블' '디즈니' '라이브러리' '문해력' '미국' '사랑' '사립' '세계' '소설' '소원' '스쿨' '시리즈'
 '아이' '영국' '오리지널' '저널' '추천' '출간' '출연' '프랑스' '호주']","['철학', '동화', '역사']","['슬픔', '우울', '도전', '용기', '고민', '불안']","['관계', '사진', '사회', '사랑', '심리', '가족', '동물', '인생', '영화', '자연', '생각']"
179,색이름 사전 - 모든 색에는 아름다운 이름과 이야기가 있다,아라이 미키,지노,9791190282413,2022-06-24,50978,예술/대중문화,"일본의 그래픽디자이너이자 수채화가 아라이 미키와 지노출판 감수.편집진의 콜라보로 탄생한 색채 그림책이다. 3년여 동안의 번역 및 감수, 편역, 보완 과정을 거쳐 한국 독자들에게 꼭 맞게, 우리말로 새롭게 풀어쓰고 구성했다.",https://image.aladin.co.kr/product/29499/21/coversum/k502837046_1.jpg,일본의 그래픽디자이너이자 수채화가 아라이 미키와 지노출판 감수 편집진의 콜라보로 탄생한 색채 그림책이다   년여 동안의 번역 및 감수  편역  보완 과정을 거쳐 한국 독자들에게 꼭 맞게  우리말로 새롭게 풀어쓰고 구성했다 ,"['감수' '과정' '구성' '그래픽' '그림책' '독자' '동안' '디자이너' '미키' '번역' '보완' '색채' '수채화'
 '아라이' '일본' '지노' '출판' '콜라보' '탄생' '편역' '편집진' '한국']","['로맨스', '동화', '판타지']","['도전', '용기']","['인생', '인간', '사회', '자연', '미술', '정치', '그림', '일상', '사랑', '여행', '가족', '심리', '생각']"
180,"모든 것은 기본에서 시작한다 - 실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",손웅정,수오서재,9791190382502,2021-10-15,51371,에세이,"손흥민 선수의 아버지이자 축구 지도자로서 세계인의 주목을 받고 있는 손웅정 감독의 메시지는 ‘삶의 본질’에 초점이 맞춰 있다. 축구선수로 뛰던 자신의 경험을 반추하며 ‘나처럼 하면 안 된다’는 생각에 손흥민 선수를 직접 교육했고, ‘기본기’의 중요성을 강조했다.",https://image.aladin.co.kr/product/28089/84/coversum/k082734846_1.jpg,손흥민 선수의 아버지이자 축구 지도자로서 세계인의 주목을 받고 있는 손웅정 감독의 메시지는  삶의 본질 에 초점이 맞춰 있다  축구선수로 뛰던 자신의 경험을 반추하며  나처럼 하면 안 된다 는 생각에 손흥민 선수를 직접 교육했고   기본기 의 중요성을 강조했다 ,"['감독' '강조' '경험' '교육' '기본기' '메시지' '반추' '본질' '생각' '선수' '세계인' '손웅정' '손흥민'
 '아버지' '자신' '주목' '중요' '지도자' '초점' '축구']","['예술', '미스터리']","['열망', '도전', '긍정']","['생각', '시간', '사진', '인생', '심리']"
181,꽃샘바람에 흔들린다면 너는 꽃,류시화,수오서재,9791190382618,2022-04-11,51167,시,"류시화 시인이 10년 만에 내놓는 시집. 삶 속에서 심호흡이 필요할 때 가슴으로 암송하는 시, 세계를 내면에서 보고 마음속 불을 기억하게 해 주는 시 70편이 실렸다. 섬세한 언어 감각, 자유로운 시적 상상력이 빛난다.",https://image.aladin.co.kr/product/29181/79/coversum/k712837984_1.jpg,류시화 시인이   년 만에 내놓는 시집  삶 속에서 심호흡이 필요할 때 가슴으로 암송하는 시  세계를 내면에서 보고 마음속 불을 기억하게 해 주는 시   편이 실렸다  섬세한 언어 감각  자유로운 시적 상상력이 빛난다 ,"['가슴' '감각' '기억' '내면' '류시화' '마음속' '상상' '세계' '시인' '시집' '심호흡' '암송' '언어' '자유'
 '필요']","['예술', '전쟁', '판타지', '미스터리']","['우울', '도전', '고민', '자유', '불안']","['여행', '심리', '가족']"
182,만일 내가 인생을 다시 산다면 - 벌써 마흔이 된 당신에게 해 주고 싶은 말들 42,김혜남,메이븐,9791190538510,2022-11-11,51514,인문학,“하나의 문이 닫히면 또 하나의 문이 열린다. 그러니 더 이상 고민하지 말고 그냥 재미있게 살아라!” 30년 동안 정신분석 전문의로 일해 온 김혜남이 벌써 마흔이 된 당신에게 해 주고 싶은 말들을 담은 책이다.,https://image.aladin.co.kr/product/30396/94/coversum/k392830163_3.jpg, 하나의 문이 닫히면 또 하나의 문이 열린다  그러니 더 이상 고민하지 말고 그냥 재미있게 살아라     년 동안 정신분석 전문의로 일해 온 김혜남이 벌써 마흔이 된 당신에게 해 주고 싶은 말들을 담은 책이다 ,['고민' '김혜남' '동안' '분석' '살아라' '이상' '전문의' '정신'],"['역사', '시대', '판타지']","['고민', '긍정', '우울']","['미술', '그림', '일상']"
183,감정 어휘 - 모호한 감정을 선명하게 밝혀 내 삶을 살게 해주는 말 공부,유선경,앤의서재,9791190710411,2022-06-10,51543,인문학,성인들에게 ‘어휘력’의 중요성을 새로운 시각으로 환기시킨 바 있는 유선경 작가는 『감정 어휘』에서 지금 내가 느끼는 감정을 올바르게 인지하고 적확한 어휘로 표현만 해도 심리·소통·관계 등 수많은 문제가 해결된다고 이야기한다.,https://image.aladin.co.kr/product/29499/37/coversum/k872837046_1.jpg,성인들에게  어휘력 의 중요성을 새로운 시각으로 환기시킨 바 있는 유선경 작가는  감정 어휘 에서 지금 내가 느끼는 감정을 올바르게 인지하고 적확한 어휘로 표현만 해도 심리 소통 관계 등 수많은 문제가 해결된다고 이야기한다 ,"['감정' '관계' '문제' '성인' '소통' '시각' '심리' '어휘' '어휘력' '유선경' '이야기' '인지' '작가' '중요'
 '표현' '해결' '환기']","['역사', '철학', '로맨스', '과학', '예술']",['슬픔'],"['관계', '심리', '가족', '미술']"
184,작은 아씨들 : 정서경 대본집 세트 - 전2권,정서경,플레인,9791190738507,2022-12-09,51054,예술/대중문화,"'작은 아씨들'은 탄탄한 ‘정서경 월드’를 구축한 정서경 작가의 두 번째 방송 드라마로, 어린 시절 읽어오던 고전 소설에서 그리고 주변의 ‘화영 언니들’에게서 영감을 받아 떠오른 이야기를 처음으로 써 나가며 완성한 '작은 아씨들' 작가판 버전을 담았다.",https://image.aladin.co.kr/product/30515/30/coversum/k452830498_1.jpg, 작은 아씨들 은 탄탄한  정서경 월드 를 구축한 정서경 작가의 두 번째 방송 드라마로  어린 시절 읽어오던 고전 소설에서 그리고 주변의  화영 언니들 에게서 영감을 받아 떠오른 이야기를 처음으로 써 나가며 완성한  작은 아씨들  작가판 버전을 담았다 ,"['고전' '구축' '드라마' '방송' '버전' '소설' '시절' '아씨' '언니' '영감' '완성' '월드' '이야기' '작가'
 '정서경' '주변' '처음' '화영']","['철학', '역사', '전쟁']","['슬픔', '열망', '도전', '용기']","['미술', '동물', '사랑']"
185,"인플레이션에서 살아남기 - &quot;애프터 인플레, 누가 돈을 벌까?&quot;",오건영,페이지2(page2),9791190977661,2022-05-23,2225,경제경영,"경제 현상을 4가지 상황으로 나누고, 현재 우리는 어디에 위치하는지 살펴보는 것은 물론, 앞으로는 어떤 방향으로 흘러갈지 예측해보고, 이것을 나의 투자 포트폴리오에 연계하는 법을 알아본다. 2021년의 투자 환경과는 무엇이 달라졌는지 짚어보고, 현재를 기점으로 가장 유력한 2가지 미래 시나리오도 제시한다.",https://image.aladin.co.kr/product/29445/77/coversum/k942837738_2.jpg,경제 현상을  가지 상황으로 나누고  현재 우리는 어디에 위치하는지 살펴보는 것은 물론  앞으로는 어떤 방향으로 흘러갈지 예측해보고  이것을 나의 투자 포트폴리오에 연계하는 법을 알아본다      년의 투자 환경과는 무엇이 달라졌는지 짚어보고  현재를 기점으로 가장 유력한  가지 미래 시나리오도 제시한다 ,"['경제' '기점' '미래' '방향' '상황' '시나리오' '연계' '예측' '위치' '유력' '제시' '투자' '포트폴리오'
 '현상' '현재' '환경']",[],"['도전', '용기', '불안', '희망']","['가족', '사진', '인생', '그림', '사랑', '자연']"
186,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,9791191043297,2021-06-21,50998,소설,제26회 전격소설대상 ‘미디어워크스문고상’ 수상작. 밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기를 담았다.,https://image.aladin.co.kr/product/27407/79/coversum/k362732558_3.jpg,제  회 전격소설대상  미디어워크스문고상  수상작  밤에 자고 일어나면 기억이 리셋되는  선행성 기억상실증 을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기를 담았다 ,"['가미야' '고등학생' '기억' '도루' '리셋' '마오리' '무미건조' '문고' '미디어' '사랑' '상작' '선행' '소녀'
 '실증' '워크스' '이야기' '인생' '전격소설대상' '히노']","['동화', '과학', '전쟁']","['고민', '용기', '도전', '열정']","['동물', '사진', '사랑', '인생']"
